Venda Nova,Conjunto Serra Verde
Leste,Camponesa III
Venda Nova,Vila Jardim Leblon
Barreiro,Vila Tirol
Oeste,Barão Homem de Melo III
Barreiro,CDI Jatobá
Oeste,Vila Madre Gertrudes V
Pampulha,Vila Rica
Leste,Grota
Oeste,Vila Betânia
Nordeste,Vila São Dimas
Barreiro,Vila Batik
Oeste,Barão Homem de Melo IV
Nordeste,Vila Ipiranga
Leste,Vila São Geraldo
Norte,Boa União II
Leste,Cidade Jardim Taquaril
Centro-Sul,Nossa Senhora do Rosário
Venda Nova,Vila Canto do Sabiá
Venda Nova,Laranjeiras
Centro-Sul,Pindura Saia
Noroeste,Vila Nova Cachoeirinha II
Nordeste,Vila do Pombal
Centro-Sul,Santa Isabel
Venda Nova,Vila Satélite
Venda Nova,Várzea da Palma
Leste,Camponesa I
Pampulha,Vila Real I
Norte,Bacurau
Venda Nova,Nova América
Oeste,Vila Nova Gameleira III
Noroeste,Lorena
Noroeste,Vila PUC
Centro-Sul,Vila FUMEC
Pampulha,Vila São Francisco
Centro-Sul,Mala e Cuia
Pampulha,Vila Suzana II
Oeste,Maravilha
Leste,Cônego Pinheiro A
Leste,Baleia
Pampulha,Xangri-lá
Leste,Belém
Pampulha,Bispo de Maura
Pampulha,Campus UFMG
Nordeste,Guanabara
Pampulha,Lagoa da Pampulha
Noroeste,Sumaré
Leste,Vila Vera Cruz I
Leste,Vila Vera Cruz II
